RecNo.,Time,Pressure1,Pressure2,Temp.1,Temp.2,Temp. 3,Temp. 4
No.   ,sec,kgf/§²,kgf/§²,¡É,¡É,¡É,¡É
         1,        60,     35.10,      0.00,    142.40,      0.00,      0.00,      0.00
         2,       120,     35.09,      0.00,    142.50,      0.00,      0.00,      0.00
         3,       180,     35.09,      0.00,    142.50,      0.00,      0.00,      0.00
         4,       240,     35.10,      0.00,    142.40,      0.00,      0.00,      0.00
         5,       300,     35.10,      0.00,    142.40,      0.00,      0.00,      0.00
         6,       360,     35.11,      0.00,    142.50,      0.00,      0.00,      0.00
         7,       420,     35.09,      0.00,    142.60,      0.00,      0.00,      0.00
         8,       480,     35.09,      0.00,    142.50,      0.00,      0.00,      0.00
         9,       540,     35.09,      0.00,    142.50,      0.00,      0.00,      0.00
        10,       600,     35.08,      0.00,    142.10,      0.00,      0.00,      0.00
        11,       660,     35.08,      0.00,    142.10,      0.00,      0.00,      0.00
        12,       720,     35.10,      0.00,    142.10,      0.00,      0.00,      0.00
        13,       780,     35.08,      0.00,    141.80,      0.00,      0.00,      0.00
        14,       840,     35.09,      0.00,    141.60,      0.00,      0.00,      0.00
        15,       900,     35.08,      0.00,    141.40,      0.00,      0.00,      0.00
        16,       960,     35.07,      0.00,    141.40,      0.00,      0.00,      0.00
        17,      1020,     35.07,      0.00,    141.40,      0.00,      0.00,      0.00
        18,      1080,     34.95,      0.00,    141.40,      0.00,      0.00,      0.00
        19,      1140,     35.08,      0.00,    141.20,      0.00,      0.00,      0.00
        20,      1200,     35.06,      0.00,    141.00,      0.00,      0.00,      0.00
        21,      1260,     35.06,      0.00,    140.80,      0.00,      0.00,      0.00
        22,      1320,     35.06,      0.00,    140.30,      0.00,      0.00,      0.00
        23,      1380,     35.04,      0.00,    140.10,      0.00,      0.00,      0.00
        24,      1440,     35.04,      0.00,    139.80,      0.00,      0.00,      0.00
        25,      1500,     35.02,      0.00,    139.80,      0.00,      0.00,      0.00
        26,      1560,     35.02,      0.00,    139.40,      0.00,      0.00,      0.00
        27,      1620,     35.01,      0.00,    139.10,      0.00,      0.00,      0.00
        28,      1680,     35.00,      0.00,    139.20,      0.00,      0.00,      0.00
        29,      1740,     35.01,      0.00,    139.00,      0.00,      0.00,      0.00
        30,      1800,     34.99,      0.00,    138.50,      0.00,      0.00,      0.00
        31,      1860,     34.98,      0.00,    138.50,      0.00,      0.00,      0.00
        32,      1920,     34.99,      0.00,    138.60,      0.00,      0.00,      0.00
        33,      1980,     34.98,      0.00,    138.30,      0.00,      0.00,      0.00
        34,      2040,     34.96,      0.00,    138.00,      0.00,      0.00,      0.00
        35,      2100,     34.96,      0.00,    137.90,      0.00,      0.00,      0.00
        36,      2160,     34.96,      0.00,    137.60,      0.00,      0.00,      0.00
        37,      2220,     34.95,      0.00,    137.30,      0.00,      0.00,      0.00
        38,      2280,     34.92,      0.00,    136.90,      0.00,      0.00,      0.00
        39,      2340,     34.93,      0.00,    136.50,      0.00,      0.00,      0.00
        40,      2400,     34.92,      0.00,    136.40,      0.00,      0.00,      0.00
        41,      2460,     34.93,      0.00,    136.40,      0.00,      0.00,      0.00
        42,      2520,     34.91,      0.00,    136.20,      0.00,      0.00,      0.00
        43,      2580,     34.91,      0.00,    135.80,      0.00,      0.00,      0.00
        44,      2640,     34.91,      0.00,    135.60,      0.00,      0.00,      0.00
        45,      2700,     34.91,      0.00,    135.50,      0.00,      0.00,      0.00
        46,      2760,     34.89,      0.00,    135.00,      0.00,      0.00,      0.00
        47,      2820,     34.88,      0.00,    134.90,      0.00,      0.00,      0.00
        48,      2880,     34.88,      0.00,    134.80,      0.00,      0.00,      0.00
        49,      2940,     34.87,      0.00,    134.60,      0.00,      0.00,      0.00
        50,      3000,     34.88,      0.00,    134.70,      0.00,      0.00,      0.00
        51,      3060,     34.86,      0.00,    134.60,      0.00,      0.00,      0.00
        52,      3120,     34.87,      0.00,    134.40,      0.00,      0.00,      0.00
        53,      3180,     34.86,      0.00,    134.30,      0.00,      0.00,      0.00
        54,      3240,     34.85,      0.00,    133.70,      0.00,      0.00,      0.00
        55,      3300,     34.86,      0.00,    133.30,      0.00,      0.00,      0.00
        56,      3360,     34.85,      0.00,    133.10,      0.00,      0.00,      0.00
        57,      3420,     34.85,      0.00,    133.10,      0.00,      0.00,      0.00
        58,      3480,     34.82,      0.00,    132.70,      0.00,      0.00,      0.00
        59,      3540,     34.82,      0.00,    132.50,      0.00,      0.00,      0.00
        60,      3600,     34.82,      0.00,    132.60,      0.00,      0.00,      0.00
        61,      3660,     34.78,      0.00,    132.40,      0.00,      0.00,      0.00
        62,      3720,     34.82,      0.00,    132.00,      0.00,      0.00,      0.00
        63,      3780,     34.80,      0.00,    131.70,      0.00,      0.00,      0.00
        64,      3840,     34.81,      0.00,    131.80,      0.00,      0.00,      0.00
        65,      3900,     34.78,      0.00,    131.70,      0.00,      0.00,      0.00
        66,      3960,     34.78,      0.00,    131.70,      0.00,      0.00,      0.00
        67,      4020,     34.78,      0.00,    131.40,      0.00,      0.00,      0.00
        68,      4080,     34.76,      0.00,    131.30,      0.00,      0.00,      0.00
        69,      4140,     34.77,      0.00,    131.20,      0.00,      0.00,      0.00
        70,      4200,     34.77,      0.00,    131.00,      0.00,      0.00,      0.00
        71,      4260,     34.76,      0.00,    130.60,      0.00,      0.00,      0.00
        72,      4320,     34.76,      0.00,    130.10,      0.00,      0.00,      0.00
        73,      4380,     34.75,      0.00,    129.60,      0.00,      0.00,      0.00
        74,      4440,     34.73,      0.00,    129.60,      0.00,      0.00,      0.00
        75,      4500,     34.72,      0.00,    129.60,      0.00,      0.00,      0.00
        76,      4560,     34.72,      0.00,    129.00,      0.00,      0.00,      0.00
        77,      4620,     34.72,      0.00,    128.60,      0.00,      0.00,      0.00
        78,      4680,     34.71,      0.00,    128.50,      0.00,      0.00,      0.00
        79,      4740,     34.72,      0.00,    128.40,      0.00,      0.00,      0.00
        80,      4800,     34.70,      0.00,    128.20,      0.00,      0.00,      0.00
        81,      4860,     34.69,      0.00,    128.10,      0.00,      0.00,      0.00
        82,      4920,     34.69,      0.00,    127.90,      0.00,      0.00,      0.00
        83,      4980,     34.69,      0.00,    127.60,      0.00,      0.00,      0.00
        84,      5040,     34.67,      0.00,    127.20,      0.00,      0.00,      0.00
        85,      5100,     34.65,      0.00,    127.00,      0.00,      0.00,      0.00
        86,      5160,     34.67,      0.00,    126.80,      0.00,      0.00,      0.00
        87,      5220,     34.66,      0.00,    126.90,      0.00,      0.00,      0.00
        88,      5280,     34.65,      0.00,    126.60,      0.00,      0.00,      0.00
        89,      5340,     34.64,      0.00,    126.10,      0.00,      0.00,      0.00
        90,      5400,     34.63,      0.00,    126.40,      0.00,      0.00,      0.00
        91,      5460,     34.62,      0.00,    126.40,      0.00,      0.00,      0.00
        92,      5520,     34.62,      0.00,    126.20,      0.00,      0.00,      0.00
        93,      5580,     34.62,      0.00,    126.00,      0.00,      0.00,      0.00
        94,      5640,     34.60,      0.00,    125.90,      0.00,      0.00,      0.00
        95,      5700,     34.61,      0.00,    125.60,      0.00,      0.00,      0.00
        96,      5760,     34.60,      0.00,    125.10,      0.00,      0.00,      0.00
        97,      5820,     34.59,      0.00,    124.60,      0.00,      0.00,      0.00
        98,      5880,     34.58,      0.00,    124.20,      0.00,      0.00,      0.00
        99,      5940,     34.58,      0.00,    124.00,      0.00,      0.00,      0.00
